elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
-0.757267,-3.95798,4.04356,-0.0777497,-5.11875,2.73856,0.337287,-0.0157929,-0.435298,0.280831,-0.646171,-0.48934,0.513949
-0.319733,1.83932,3.08079,3.82032,2.0449,-1.74643,-0.152608,0.177924,0.176531,0.456147,0.103479,0.883083,-0.0372353
-0.0481245,0.640351,-2.04572,-3.69074,-1.12336,3.01549,0.445263,0.203392,0.43094,0.760352,0.582977,-0.0113819,0.286133
-2.49084,6.10789,-2.0281,4.75495,-0.390443,1.664,-0.0166303,-0.36701,0.872773,-0.510559,0.587546,0.579649,0.241095
-0.585235,-5.29755,-4.17587,-2.33491,4.3841,5.99503,-0.2538,0.332024,-0.369035,-0.370341,0.829603,-0.224262,0.352581
0.230124,-0.162973,-5.78219,3.14014,5.19178,-6.14654,1.19522,0.514089,0.169546,0.572958,-0.158761,-0.431833,0.678258
-2.13093,6.23649,-4.45169,1.44017,2.49347,-2.11833,-0.159911,-0.407882,-0.22392,0.444573,-0.572272,0.65908,0.201178
-1.16046,-0.592931,-3.93214,-1.35165,0.178521,0.356752,0.413787,-0.227087,-0.156746,-0.190809,-0.65459,0.369628,0.631252
-0.738591,-0.563763,1.83141,6.02606,1.48988,3.80515,0.603261,-0.30101,-0.199477,-0.216379,0.176099,0.955877,-0.0920193
-1.84651,-6.1759,0.255555,4.43813,-2.04763,2.52202,-0.22521,-1.23923,-0.201512,0.140907,0.194066,0.176381,0.954659
-2.4988,-2.35534,3.23645,4.02024,3.85945,-6.2523,0.0244607,-0.0895773,0.075583,0.333826,-0.255986,0.82218,0.383473
-0.700143,6.20483,5.94984,0.747565,-2.41682,3.68744,0.837686,-0.592154,0.369687,0.410068,0.664151,0.415668,0.466871
-2.00081,-3.75025,1.73863,-1.08721,-0.7525,3.02268,0.511537,0.493505,0.463628,-0.688821,-0.104475,0.169271,0.697107
1.14861,1.16389,4.60309,0.344878,4.84778,-5.14458,0.0915789,0.667273,-0.237648,-0.619898,-0.176808,-0.56796,0.511748
2.25735,-5.44647,-2.3365,6.16041,-0.344411,-4.30534,-0.582584,0.26304,0.262813,-0.553989,0.156528,-0.48003,0.661942
-1.55773,-3.02569,5.11659,-2.34804,1.19709,-3.54653,0.206787,0.759978,-0.332737,0.0402332,0.785343,0.556399,-0.268398
-2.28573,-3.37607,-4.83372,4.19454,-3.42796,5.80212,0.642374,0.644833,0.625808,0.542978,0.311277,0.115376,0.771343
2.97421,-2.44436,-4.68321,-1.47367,3.5783,2.52885,-0.0423053,-0.0623615,1.04668,0.342943,0.476719,-0.584772,0.559616
-2.19369,5.76042,0.196578,-3.63589,3.55808,4.94723,-0.538295,-0.865227,0.785962,0.758781,0.268722,0.464954,0.368589
-2.31273,-4.33465,-3.78736,-4.64071,3.51385,1.46755,0.315615,0.247257,0.0365228,0.593538,-0.335014,0.606496,0.409439
-1.53942,-2.58608,5.18813,-0.0315609,-4.94823,5.7516,0.164549,1.17679,0.249773,0.435601,-0.217843,0.18793,0.852924
-2.27122,-5.89755,3.84267,0.18519,-0.471074,-5.39481,-0.0657701,-0.509339,0.440853,-0.526376,0.0778948,0.646277,0.54698
-2.88463,-2.24651,0.81804,1.70727,-1.41976,0.153916,0.479972,-0.072072,1.14103,0.474316,0.641141,-0.405408,-0.446774
-0.485254,-3.99534,4.84095,-6.1066,1.08283,5.06854,0.0429199,0.23602,-0.859196,-0.277306,-0.215098,0.879376,0.321763
-2.2384,-2.64919,-4.39774,-3.15153,2.34836,5.90155,0.239875,0.155047,0.893348,0.485815,0.122485,0.0240819,0.865102
0.39434,-5.50323,5.2381,5.63024,-3.32691,5.55662,0.98846,0.475885,-0.156146,-0.712372,-0.256354,0.105555,0.644722
2.29929,-6.10397,-1.28994,-2.43666,-0.317989,2.52716,-0.773667,0.43926,0.708102,-0.360537,0.657057,-0.0443527,0.660547
2.56384,0.627831,-0.859482,6.27244,-1.24251,5.14165,-0.931388,0.354472,-0.190803,-0.596926,0.173422,0.631818,0.463044
2.87686,-3.81938,-5.72976,0.557697,-6.27153,3.82832,0.884581,-0.54099,-0.165054,-0.643434,-0.297391,-0.447416,0.545317
-2.56811,-0.134345,-5.41282,-4.34794,-3.91759,2.10173,-0.709769,-0.566721,-0.0510975,-0.237425,-0.533779,0.781493,-0.21904
1.85293,-2.10982,5.54552,4.56009,-1.82475,2.66487,0.129301,-0.966419,1.00083,0.105046,0.983906,-0.112061,-0.0913048
-1.86403,-0.555634,-3.94064,-3.15797,0.785103,-3.77493,0.0919266,-0.583248,0.00260526,0.376644,0.839382,0.0263142,-0.391006
